SearchTeam,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
Atlanta Hawks,Atlanta Hawks,Mouhamed Gueye,Sophomore,-2.1,1.4,-1.7,-0.4,-2.1,-1.7,-0.4,16.1,53.9%,6.1,30.0%,37.1%,5.3,67.5%,4,70.2%,26.4%,17.8%,12.6,2.8,8.1%,1.8,2.5%,1.5,1.7%,2.6
Atlanta Hawks,Atlanta Hawks,Kobe Bufkin,Sophomore,-2.3,0.2,-1.8,-0.5,-2.2,-1.7,-0.4,19.7,50.6%,7.4,30.5%,37.6%,4.7,63.0%,4.4,70.0%,23.0%,20.6%,7.9,6.6,21.2%,0.9,1.0%,1.6,1.7%,3
Atlanta Hawks,Atlanta Hawks,David Roddy,Vet,-2.4,0.2,-1.5,-0.9,-2.5,-1.7,-0.9,14.8,50.8%,6,33.2%,42.2%,4.5,64.5%,3.4,74.1%,23.3%,17.4%,9.9,4.6,14.6%,0.8,1.0%,1.5,1.5%,3.1
Atlanta Hawks,Atlanta Hawks,Zaccharie Risacher,Rookie,-3,,-2.3,-0.7,-2.9,-2.3,-0.6,18.3,50.1%,6.9,32.9%,38.4%,5.5,63.5%,3.9,71.5%,20.8%,18.8%,7.4,2.6,6.8%,0.9,1.0%,1.5,1.5%,2.3
Portland Trail Blazers,Portland Trail Blazers,Robert Williams III,Vet,1.1,-0.8,-0.5,1.7,2.1,-0.5,2.6,10.2,67.6%,0.5,17.1%,2.9%,6.3,79.7%,2.4,77.0%,24.1%,11.8%,16.4,2.9,8.1%,3.9,4.3%,1.7,1.7%,1.8
Portland Trail Blazers,Portland Trail Blazers,Dalano Banton,Vet,0.1,0.7,-0.3,0.4,0.5,-0.2,0.6,23,48.6%,10.3,34.4%,44.0%,6.4,62.5%,5.1,74.5%,23.0%,23.6%,6.8,6.7,21.3%,1.3,1.4%,2,2.0%,3.7
Portland Trail Blazers,Portland Trail Blazers,Matisse Thybulle,Vet,0.1,0.3,-1.3,1.4,1,-0.7,1.7,11.2,52.5%,7.5,34.2%,57.0%,1.7,66.7%,1.4,68.5%,13.1%,12.8%,5.6,3.3,11.1%,1.4,1.6%,3.4,3.4%,1.6
Portland Trail Blazers,Portland Trail Blazers,Deni Avdija,Vet,-0.2,0.8,0.3,-0.5,0.3,0.6,-0.3,18.5,55.6%,7.8,35.4%,41.1%,5.8,70.5%,6.6,77.5%,37.7%,22.7%,10.9,6.3,20.1%,0.8,0.9%,1.6,1.6%,4
Portland Trail Blazers,Portland Trail Blazers,Toumani Camara,Sophomore,-0.5,2,-1.2,0.7,-0.2,-0.9,0.7,13.3,54.3%,6.7,36.1%,46.8%,4.9,64.5%,3.2,76.5%,22.3%,15.5%,8.8,3.3,9.5%,0.9,1.0%,2,2.0%,2.2
Portland Trail Blazers,Portland Trail Blazers,Kris Murray,Sophomore,-0.7,1.8,-1.3,0.6,-0.7,-1.3,0.7,12.3,57.0%,5.1,32.0%,40.0%,5.1,67.3%,2.6,61.9%,18.8%,13.8%,8.2,3.1,8.9%,0.7,0.8%,1.7,1.7%,1.9
Portland Trail Blazers,Portland Trail Blazers,Deandre Ayton,Vet,-0.9,-1.5,-1.4,0.5,0.3,-0.9,1.2,18.6,60.2%,1,32.2%,5.8%,6.3,76.8%,2.2,73.1%,13.5%,19.8%,16.9,2.7,7.6%,1.5,1.7%,1.4,1.3%,2.4
Portland Trail Blazers,Portland Trail Blazers,Duop Reath,Sophomore,-1.1,0.7,-0.4,-0.7,-1,-0.2,-0.8,20.2,52.5%,11.3,33.7%,59.9%,4.5,67.2%,3.9,72.6%,19.2%,20.3%,10.3,2.6,7.5%,1.4,1.6%,1.3,1.3%,2.3
Portland Trail Blazers,Portland Trail Blazers,Justin Minaya,Vet,-1.1,1.5,-2.1,1,-1,-2.1,1,10.6,48.7%,4.9,30.8%,49.1%,3.3,63.7%,2.6,64.2%,17.6%,11.2%,8.6,3.3,10.0%,1.1,1.2%,1.6,1.5%,2.1
Portland Trail Blazers,Portland Trail Blazers,Anfernee Simons,Vet,-1.2,0.2,0.8,-2,-0.4,2.1,-2.5,22.2,50.4%,12.1,38.9%,54.2%,3.2,62.1%,3.7,90.3%,17.0%,22.6%,4.3,7.2,22.7%,0.1,0.1%,1.2,1.1%,2.9
Portland Trail Blazers,Portland Trail Blazers,Donovan Clingan,Rookie,-1.6,,-2.5,0.9,-1.6,-2.5,0.9,11.6,58.7%,2.7,28.9%,13.0%,7.4,69.7%,2.7,69.3%,25.0%,14.4%,17.7,2.7,7.6%,3.9,4.5%,1.2,1.3%,3.1
Portland Trail Blazers,Portland Trail Blazers,Bryce McGowens,Vet,-1.6,1.3,-0.8,-0.8,-1.8,-0.6,-1.2,17.2,50.6%,6.4,33.4%,39.5%,4.8,62.9%,6.6,72.0%,31.8%,21.4%,6.1,3.1,9.3%,0.6,0.6%,1.4,1.4%,2.4
Portland Trail Blazers,Portland Trail Blazers,Taze Moore,Sophomore,-1.7,0.4,-1.5,-0.2,-1.7,-1.5,-0.2,17.5,48.3%,7.9,27.8%,42.5%,4.2,65.8%,3.1,69.8%,17.8%,18.8%,8.5,4.1,14.0%,0.5,0.7%,1.9,1.9%,2.6
Portland Trail Blazers,Portland Trail Blazers,Scoot Henderson,Sophomore,-1.8,1.3,-0.8,-1,-0.7,-0.4,-0.2,18.2,49.6%,8.9,34.7%,49.0%,4.4,57.9%,5.8,80.9%,30.4%,21.1%,5.2,9.2,26.5%,0.5,0.5%,1.8,1.8%,4.8
Portland Trail Blazers,Portland Trail Blazers,Shaedon Sharpe,Vet,-2,-0.9,-0.7,-1.4,-1.3,-0.1,-1.2,22.9,52.3%,9.7,35.1%,42.0%,5.4,67.2%,5.1,81.1%,22.6%,23.2%,6.4,3.9,12.1%,0.4,0.5%,1.3,1.3%,2.8
Portland Trail Blazers,Portland Trail Blazers,Jerami Grant,Vet,-2.1,-1.8,-1.2,-0.9,-0.5,-0.5,0,17.2,48.0%,8.7,39.3%,50.3%,3.5,60.4%,4.7,82.9%,28.4%,17.7%,5.4,3.5,9.8%,1.3,1.4%,1.3,1.2%,2
